#date=2025-05-08 15:37:00
#batch_size=64
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.1
#epochs=200
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
1,0.3851,0.3745,0.3637,0.3946,0.3907,0.4017,0.3668,0.4033,0.3446,0.3195,0.3228,2.8062,2.5302,2.2615,2.0641,2.277,2.3586,2.2768,2.5964,2.237,2.3704,2.2439
2,0.477,0.5054,0.5118,0.5295,0.5653,0.4903,0.4878,0.5722,0.4865,0.434,0.4039,2.2081,2.1377,2.191,2.1405,1.9993,1.9972,2.3085,2.2,2.1627,2.295,2.2184
3,0.5785,0.6061,0.584,0.561,0.5956,0.5724,0.598,0.5664,0.6314,0.5172,0.5142,2.0433,2.0284,1.9313,2.0615,1.8583,1.9987,2.208,2.0897,2.1266,2.0897,2.0978
4,0.6349,0.6913,0.6779,0.6513,0.7148,0.5487,0.6862,0.6608,0.613,0.5895,0.6347,2.0808,1.9024,2.0675,2.1157,2.1558,2.0465,2.0407,1.9823,2.0015,2.0499,2.1652
5,0.6581,0.6571,0.6962,0.6985,0.6952,0.6955,0.6557,0.737,0.7411,0.6114,0.7061,1.9169,1.8401,2.0564,1.9624,1.7979,1.9968,2.0637,1.8786,1.8614,1.9418,1.8758
6,0.8085,0.8204,0.8209,0.8127,0.8237,0.8114,0.8122,0.8241,0.8219,0.7795,0.7964,1.8034,1.9534,2.0774,1.8501,1.91,1.9621,2.0475,1.9852,1.8907,2.0242,1.9011
7,0.8191,0.8297,0.8332,0.8317,0.8365,0.8242,0.8215,0.8371,0.8324,0.7974,0.8163,1.9517,1.6576,1.7536,1.8299,1.6363,2.2192,2.0189,1.8568,2.0323,1.9424,1.8224
8,0.827,0.8405,0.8366,0.8325,0.8395,0.8312,0.836,0.8412,0.8379,0.8074,0.822,1.9561,1.708,1.9302,1.8327,1.7939,1.8,2.0455,1.8281,1.7009,2.0873,1.7851
9,0.8376,0.8419,0.8447,0.8374,0.849,0.8376,0.8318,0.835,0.8453,0.8154,0.831,2.028,1.6233,2.0873,1.805,1.8835,1.6518,1.8951,1.7412,1.6179,1.9437,1.9366
10,0.8421,0.8443,0.8458,0.8463,0.8524,0.84,0.8486,0.8532,0.8535,0.8175,0.832,1.9472,2.1078,1.8416,1.5425,1.7978,1.7749,1.8747,1.7241,1.7998,1.9305,1.935
