#date=2025-05-13 23:56:24
#batch_size=128
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.2
#epochs=200
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
1,0.2409,0.3443,0.2603,0.2574,0.2664,0.2422,0.3175,0.2756,0.3173,0.2326,0.351,2.2897,2.3017,2.4965,2.2548,2.382,2.3421,2.2876,2.271,2.3632,2.285,2.404
2,0.345,0.4103,0.3884,0.3101,0.3792,0.3404,0.3507,0.4018,0.4078,0.4007,0.4172,2.0488,2.1047,2.2,2.0988,2.2944,2.1942,2.1362,2.1425,2.1422,2.0405,2.0833
3,0.3177,0.5349,0.4549,0.4354,0.4617,0.3749,0.424,0.4387,0.5378,0.4747,0.4865,2.0666,2.0088,2.0852,2.0028,2.2177,2.2091,2.1007,2.1574,2.0557,2.0923,1.9114
4,0.4689,0.5598,0.5173,0.5091,0.4547,0.4625,0.5577,0.6125,0.5891,0.5527,0.5792,2.0455,2.1038,2.0406,2.0531,2.0605,2.1185,2.0696,1.9153,1.9394,2.0503,1.8633
5,0.5385,0.6733,0.5617,0.5568,0.4329,0.5226,0.5568,0.6608,0.6164,0.5733,0.529,2.037,1.9649,1.9606,1.859,2.0521,2.0493,2.0168,1.9275,2.0391,2.0694,1.8592
6,0.6912,0.7988,0.7329,0.738,0.7251,0.7042,0.7199,0.7817,0.7645,0.7629,0.7602,1.9477,1.8416,1.9844,1.975,2.1564,2.0275,1.8497,1.8349,1.843,1.9627,1.7553
7,0.7185,0.8101,0.7507,0.7564,0.7467,0.716,0.7442,0.802,0.7769,0.7795,0.7765,1.9363,1.8712,1.9158,1.9481,1.8857,1.9953,1.9065,1.8294,1.973,1.9122,1.9272
8,0.7331,0.8215,0.761,0.7765,0.7549,0.7404,0.7502,0.801,0.7937,0.7936,0.7821,2.0362,1.83,2.0186,1.9488,1.9253,2.0625,1.8301,2.0367,1.8366,1.9013,1.7804
9,0.7386,0.8289,0.7756,0.7725,0.7631,0.765,0.7779,0.8014,0.8053,0.8004,0.7902,1.8964,1.7168,1.9729,2.0075,1.7821,1.9502,1.8607,1.8111,1.8245,1.8683,1.8129
10,0.7683,0.8383,0.7884,0.7769,0.7912,0.7719,0.7821,0.8134,0.8114,0.8128,0.8079,1.7947,1.7016,1.9485,1.9455,1.9333,1.8696,1.8908,1.8189,1.6565,1.7968,1.6646
11,0.808,0.8551,0.8221,0.8285,0.8258,0.8135,0.8185,0.8437,0.8405,0.8477,0.8388,1.8658,1.6449,1.7841,1.8246,1.6876,1.773,1.7254,1.6795,1.639,1.7463,1.7579
12,0.8142,0.8551,0.8266,0.8303,0.8294,0.8196,0.8211,0.8509,0.8457,0.8476,0.8405,1.7717,1.6123,1.8974,1.7361,1.7021,1.827,1.743,1.7644,1.7596,1.8733,1.6309
13,0.8187,0.859,0.8332,0.8349,0.8342,0.8227,0.8195,0.8478,0.8468,0.852,0.8423,1.8505,1.6813,1.711,1.9288,1.6144,1.7958,1.762,1.7662,1.5391,1.7051,1.688
14,0.8193,0.859,0.8336,0.8392,0.8348,0.8264,0.8305,0.8534,0.8515,0.856,0.8454,1.7581,1.6026,1.7027,1.7871,1.787,1.7498,1.6601,1.7799,1.6287,1.6187,1.7043
