#date=2025-05-16 04:50:17
#batch_size=48
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.07500000000000001
#epochs=30
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
1,0.3879,0.4379,0.4114,0.4191,0.3914,0.4388,0.4219,0.3928,0.3752,0.4417,0.4229,2.7122,2.253,2.2398,2.2974,2.0953,2.2603,2.2146,2.418,2.2018,2.0536,2.3219
2,0.462,0.5508,0.5476,0.5106,0.5685,0.5332,0.5914,0.48,0.5018,0.5512,0.5261,2.1295,1.9549,2.1607,2.013,2.0979,2.1444,2.0557,2.0636,2.2044,2.1485,2.0996
3,0.5782,0.6425,0.6238,0.6317,0.6137,0.6197,0.6651,0.5672,0.5958,0.6305,0.6296,2.2183,1.9609,1.9897,2.1233,2.0156,2.0844,2.2579,2.1959,2.033,2.1775,1.9805
4,0.57,0.7051,0.6669,0.6156,0.6666,0.7187,0.6983,0.6775,0.6463,0.5928,0.7023,1.8773,1.8735,2.0262,2.2228,2.0132,2.0818,1.9997,2.0293,2.1044,2.1067,1.9086
5,0.6083,0.6676,0.7258,0.6946,0.6832,0.6765,0.6914,0.6579,0.6905,0.7369,0.724,1.8181,1.7683,1.8309,1.8447,1.9507,1.9737,2.0218,2.0827,2.0581,1.8252,1.8285
6,0.8071,0.8358,0.829,0.8274,0.834,0.8281,0.8296,0.8301,0.8068,0.8299,0.8312,1.9248,1.8884,1.7878,1.8965,1.8587,1.8281,2.2304,2.0115,1.8485,1.9553,2.0164
7,0.8217,0.8433,0.8352,0.8355,0.8388,0.8421,0.8362,0.8375,0.8203,0.8395,0.8413,1.9603,1.8011,2.0732,1.7986,1.9092,2.0789,1.9266,1.7642,1.9097,1.7777,1.7159
8,0.8303,0.8455,0.8455,0.8403,0.8464,0.855,0.8451,0.8489,0.8259,0.8441,0.8488,1.8683,2.047,1.7989,2.0007,1.701,1.8939,1.7703,1.9471,1.7677,1.5444,1.8866
9,0.832,0.8546,0.8504,0.8471,0.8568,0.8556,0.8536,0.8523,0.8306,0.8472,0.8533,1.8901,1.7038,1.9255,1.7276,1.7863,1.7624,1.9916,1.718,1.7988,1.8222,2.072
10,0.8405,0.8556,0.8553,0.8541,0.8465,0.8619,0.8536,0.8554,0.836,0.8521,0.8497,2.0495,1.9459,1.8045,1.8228,1.7858,1.7341,1.8245,1.7886,2.0407,1.8932,1.7797
